AUD;52.5385;1
AZN;49.5749;1
AMD;21.5422;100
THB;24.6931;10
BYN;26.9317;1
BGN;47.8172;1
BRL;15.0322;1
KRW;57.4488;1000
HKD;10.8633;1
UAH;20.3851;10
DKK;12.5344;1
AED;22.9482;1
USD;84.2774;1
VND;33.8654;10000
EUR;92.9855;1
EGP;16.6562;10
PLN;21.8562;1
JPY;57.7480;100
INR;98.8845;10
CAD;59.9029;1
QAR;23.1531;1
GEL;30.5364;1
MDL;47.9765;10
NZD;48.8135;1
TMT;24.0793;1
NOK;81.8688;10
RON;18.6063;1
IDR;50.8062;10000
ZAR;44.1430;10
XDR;112.9056;1
RSD;79.7682;100
SGD;63.2856;1
KGS;97.1287;10
TJS;77.4872;10
KZT;16.8027;100
TRY;22.2381;10
UZS;65.2280;10000
HUF;22.8915;100
GBR;110.9765;1
CZK;37.0255;10
SEK;87.2372;10
CHF;98.4894;1
CNY;11.6044;1
RUB;1;1
