AUD;65.6130;1
AZN;59.2234;1
AMD;25.8518;100
BYN;29.4816;1
BGN;54.3698;1
BRL;17.4368;1
HUF;25.7546;100
KRW;72.3482;1000
VND;41.4491;10000
HKD;12.9592;1
GEL;36.6321;1
DKK;14.2560;1
AED;27.4145;1
USD;100.6798;1
EUR;106.0762;1
EGP;20.2675;10
INR;11.9210;10
IDR;63.4883;10000
KZT;20.3311;100
CAD;71.9501;1
QAR;27.6593;1
KGS;11.6393;10
CNY;13.8821;1
MDL;55.3694;10
NZD;59.2048;1
TMT;28.7657;1
NOK;91.3245;10
PLN;24.3588;1
RON;21.2777;1
XDR;132.2016;1
RSD;90.7618;100
SGD;75.0446;1
TJS;94.4322;10
THB;29.0571;10
TRY;29.2095;10
UZS;78.3139;10000
UAH;24.4053;10
GBP;127.3902;1
CZK;42.0393;10
SEK;91.6312;10
CHF;113.9169;1
ZAR;55.4096;10
JPY;64.9338;100
RUB;1;1
